cell,leg,rep,nul,pos,con,read,inp,spell,outcome,msg,expected
g00035,G,f64,0,field,ord,plainalias,0,ord,correct,,7.25|1
g00036,G,f64,1,elem,ord,nulalias,0,ord,correct,,7.25|1
g00037,G,f64,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00038,G,f64,0,elem,ord,plainalias,0,ord,correct,,7.25|1
g00039,G,f64,1,mapval,ord,nulalias,0,ord,correct,,7.25|1
g00040,G,f64,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00041,G,f64,0,mapval,ord,plainalias,0,ord,loud_check_reject,"[ERROR]: print of a union value (f64?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7.25|1
g00042,G,f64,1,bare,ord,nulalias,0,ord,correct,,7.25|1
g00043,G,f64,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00044,G,f64,0,bare,ord,plainalias,0,ord,correct,,7.25|1
g00045,G,f32,1,field,fwd,nulalias,0,fwd,loud_check_reject,"[ERROR]: print of a union value (f32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7.25|1
g00046,G,f32,1,field,fwd,nulalias,1,fwd,loud_check_reject,"[ERROR]: print of a union value (f32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",NUL|1
g00047,G,f32,0,field,fwd,plainalias,0,fwd,correct,,7.25|1
g00048,G,f32,1,field,ord,nulalias,0,ord,correct,,7.25|1
g00049,G,f32,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00050,G,f32,0,field,ord,plainalias,0,ord,correct,,7.25|1
g00051,G,f32,1,elem,ord,nulalias,0,ord,correct,,7.25|1
g00052,G,f32,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00053,G,f32,0,elem,ord,plainalias,0,ord,correct,,7.25|1
g00054,G,f32,1,mapval,ord,nulalias,0,ord,correct,,7.25|1
g00055,G,f32,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00056,G,f32,0,mapval,ord,plainalias,0,ord,loud_check_reject,"[ERROR]: print of a union value (f32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7.25|1
g00057,G,f32,1,bare,ord,nulalias,0,ord,correct,,7.25|1
g00058,G,f32,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00059,G,f32,0,bare,ord,plainalias,0,ord,correct,,7.25|1
g00060,G,boolean,1,field,fwd,nulalias,0,fwd,correct,,true|1
g00061,G,boolean,1,field,fwd,nulalias,1,fwd,correct,,NUL|1
g00062,G,boolean,0,field,fwd,plainalias,0,fwd,wrong_value,expected ['true'] got ['1'] (calls 1),true|1
g00063,G,boolean,1,field,ord,nulalias,0,ord,correct,,true|1
g00064,G,boolean,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00065,G,boolean,0,field,ord,plainalias,0,ord,correct,,true|1
g00066,G,boolean,1,elem,ord,nulalias,0,ord,correct,,true|1
g00067,G,boolean,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00068,G,boolean,0,elem,ord,plainalias,0,ord,correct,,true|1
g00069,G,boolean,1,mapval,ord,nulalias,0,ord,correct,,true|1
g00070,G,boolean,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00071,G,boolean,0,mapval,ord,plainalias,0,ord,correct,,true|1
g00072,G,boolean,1,bare,ord,nulalias,0,ord,correct,,true|1
g00073,G,boolean,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00074,G,boolean,0,bare,ord,plainalias,0,ord,correct,,true|1
g00075,G,string,1,field,fwd,nulalias,0,fwd,correct,,aa|1
g00076,G,string,1,field,fwd,nulalias,1,fwd,correct,,NUL|1
g00077,G,string,0,field,fwd,plainalias,0,fwd,correct,,aa|1
g00078,G,string,1,field,ord,nulalias,0,ord,correct,,aa|1
g00079,G,string,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00080,G,string,0,field,ord,plainalias,0,ord,correct,,aa|1
g00081,G,string,1,elem,ord,nulalias,0,ord,correct,,aa|1
g00082,G,string,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00083,G,string,0,elem,ord,plainalias,0,ord,correct,,aa|1
g00084,G,string,1,mapval,ord,nulalias,0,ord,correct,,aa|1
g00085,G,string,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00086,G,string,0,mapval,ord,plainalias,0,ord,correct,,aa|1
g00087,G,string,1,bare,ord,nulalias,0,ord,correct,,aa|1
g00088,G,string,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00089,G,string,0,bare,ord,plainalias,0,ord,correct,,aa|1
g00090,G,namedlit,1,field,fwd,nulalias,0,fwd,wrong_value,expected ['p'] got ['0'] (calls 1),p|1
g00091,G,namedlit,1,field,fwd,nulalias,1,fwd,correct,,NUL|1
g00092,G,namedlit,0,field,fwd,plainalias,0,fwd,invalid_wasm,"1: Invalid input WebAssembly code at offset 229: type mismatch: expected i32, found (ref $type)",p|1
g00093,G,namedlit,1,field,ord,nulalias,0,ord,correct,,p|1
g00094,G,namedlit,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00095,G,namedlit,0,field,ord,plainalias,0,ord,correct,,p|1
g00096,G,namedlit,1,elem,ord,nulalias,0,ord,correct,,p|1
g00097,G,namedlit,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00098,G,namedlit,0,elem,ord,plainalias,0,ord,correct,,p|1
g00099,G,namedlit,1,mapval,ord,nulalias,0,ord,correct,,p|1
g00100,G,namedlit,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00101,G,namedlit,0,mapval,ord,plainalias,0,ord,correct,,p|1
g00102,G,namedlit,1,bare,ord,nulalias,0,ord,correct,,p|1
g00103,G,namedlit,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00104,G,namedlit,0,bare,ord,plainalias,0,ord,correct,,p|1
g00105,G,numlit,1,field,fwd,nulalias,0,fwd,loud_check_reject,"[ERROR]: print of a union value (1 | 2?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",1|1
g00106,G,numlit,1,field,fwd,nulalias,1,fwd,loud_check_reject,"[ERROR]: print of a union value (1 | 2?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",NUL|1
g00107,G,numlit,0,field,fwd,plainalias,0,fwd,correct,,1|1
g00108,G,numlit,1,field,ord,nulalias,0,ord,correct,,1|1
g00109,G,numlit,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00110,G,numlit,0,field,ord,plainalias,0,ord,correct,,1|1
g00111,G,numlit,1,elem,ord,nulalias,0,ord,correct,,1|1
g00112,G,numlit,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00113,G,numlit,0,elem,ord,plainalias,0,ord,correct,,1|1
g00114,G,numlit,1,mapval,ord,nulalias,0,ord,correct,,1|1
g00115,G,numlit,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00116,G,numlit,0,mapval,ord,plainalias,0,ord,loud_check_reject,"[ERROR]: print of a union value (1 | 2?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",1|1
g00117,G,numlit,1,bare,ord,nulalias,0,ord,correct,,1|1
g00118,G,numlit,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00119,G,numlit,0,bare,ord,plainalias,0,ord,correct,,1|1
g00120,G,struct,1,field,fwd,nulalias,0,fwd,loud_check_reject,[ERROR]: field 'w' is not on every member of {w: i32}? — narrow with `is` first,5|1
g00121,G,struct,1,field,fwd,nulalias,1,fwd,loud_check_reject,[ERROR]: field 'w' is not on every member of {w: i32}? — narrow with `is` first,NUL|1
g00122,G,struct,0,field,fwd,plainalias,0,fwd,correct,,5|1
g00123,G,struct,1,field,ord,nulalias,0,ord,correct,,5|1
g00124,G,struct,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00125,G,struct,0,field,ord,plainalias,0,ord,correct,,5|1
g00126,G,struct,1,elem,ord,nulalias,0,ord,loud_emit_reject,emitProgram: a nullable-{w:i32} list element has no rep; use a non-null element type,5|1
g00127,G,struct,1,elem,ord,nulalias,1,ord,loud_emit_reject,emitProgram: a nullable-{w:i32} list element has no rep; use a non-null element type,NUL|1
g00128,G,struct,0,elem,ord,plainalias,0,ord,correct,,5|1
g00129,G,struct,1,mapval,ord,nulalias,0,ord,correct,,5|1
g00130,G,struct,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00131,G,struct,0,mapval,ord,plainalias,0,ord,loud_check_reject,[ERROR]: member access '.w' on non-object {w: i32}?,5|1
g00132,G,struct,1,bare,ord,nulalias,0,ord,correct,,5|1
g00133,G,struct,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00134,G,struct,0,bare,ord,plainalias,0,ord,correct,,5|1
g00135,G,list_i32,1,field,fwd,nulalias,0,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of i32[]? — narrow with `is` first,2|1
g00136,G,list_i32,1,field,fwd,nulalias,1,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of i32[]? — narrow with `is` first,NUL|1
g00137,G,list_i32,0,field,fwd,plainalias,0,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of i32[] — narrow with `is` first,2|1
g00138,G,list_i32,1,field,ord,nulalias,0,ord,correct,,2|1
g00139,G,list_i32,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00140,G,list_i32,0,field,ord,plainalias,0,ord,correct,,2|1
g00141,G,list_i32,1,elem,ord,nulalias,0,ord,correct,,2|1
g00142,G,list_i32,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00143,G,list_i32,0,elem,ord,plainalias,0,ord,correct,,2|1
g00144,G,list_i32,1,mapval,ord,nulalias,0,ord,loud_emit_reject,"emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list, or a nullable litunion-result closure; any other value type here interned no mv slot)",2|1
g00145,G,list_i32,1,mapval,ord,nulalias,1,ord,loud_emit_reject,"emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list, or a nullable litunion-result closure; any other value type here interned no mv slot)",NUL|1
g00146,G,list_i32,0,mapval,ord,plainalias,0,ord,loud_check_reject,[ERROR]: member access '.length' on non-object i32[]?,2|1
g00147,G,list_i32,1,bare,ord,nulalias,0,ord,correct,,2|1
g00148,G,list_i32,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00149,G,list_i32,0,bare,ord,plainalias,0,ord,correct,,2|1
g00150,G,list_str,1,field,fwd,nulalias,0,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of string[]? — narrow with `is` first,1|1
g00151,G,list_str,1,field,fwd,nulalias,1,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of string[]? — narrow with `is` first,NUL|1
g00152,G,list_str,0,field,fwd,plainalias,0,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of string[] — narrow with `is` first,1|1
g00153,G,list_str,1,field,ord,nulalias,0,ord,correct,,1|1
g00154,G,list_str,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00155,G,list_str,0,field,ord,plainalias,0,ord,correct,,1|1
g00156,G,list_str,1,elem,ord,nulalias,0,ord,correct,,1|1
g00157,G,list_str,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00158,G,list_str,0,elem,ord,plainalias,0,ord,correct,,1|1
g00159,G,list_str,1,mapval,ord,nulalias,0,ord,loud_emit_reject,"emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list, or a nullable litunion-result closure; any other value type here interned no mv slot)",1|1
g00160,G,list_str,1,mapval,ord,nulalias,1,ord,loud_emit_reject,"emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list, or a nullable litunion-result closure; any other value type here interned no mv slot)",NUL|1
g00161,G,list_str,0,mapval,ord,plainalias,0,ord,loud_check_reject,[ERROR]: member access '.length' on non-object string[]?,1|1
g00162,G,list_str,1,bare,ord,nulalias,0,ord,correct,,1|1
g00163,G,list_str,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00164,G,list_str,0,bare,ord,plainalias,0,ord,correct,,1|1
g00165,G,list_f64,1,field,fwd,nulalias,0,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of f64[]? — narrow with `is` first,1|1
g00166,G,list_f64,1,field,fwd,nulalias,1,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of f64[]? — narrow with `is` first,NUL|1
g00167,G,list_f64,0,field,fwd,plainalias,0,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of f64[] — narrow with `is` first,1|1
g00168,G,list_f64,1,field,ord,nulalias,0,ord,correct,,1|1
g00169,G,list_f64,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00170,G,list_f64,0,field,ord,plainalias,0,ord,correct,,1|1
g00171,G,list_f64,1,elem,ord,nulalias,0,ord,correct,,1|1
g00172,G,list_f64,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00173,G,list_f64,0,elem,ord,plainalias,0,ord,correct,,1|1
g00174,G,list_f64,1,mapval,ord,nulalias,0,ord,loud_emit_reject,"emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list, or a nullable litunion-result closure; any other value type here interned no mv slot)",1|1
g00175,G,list_f64,1,mapval,ord,nulalias,1,ord,loud_emit_reject,"emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list, or a nullable litunion-result closure; any other value type here interned no mv slot)",NUL|1
g00176,G,list_f64,0,mapval,ord,plainalias,0,ord,loud_check_reject,[ERROR]: member access '.length' on non-object f64[]?,1|1
g00177,G,list_f64,1,bare,ord,nulalias,0,ord,correct,,1|1
g00178,G,list_f64,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00179,G,list_f64,0,bare,ord,plainalias,0,ord,correct,,1|1
g00180,G,list_ref,1,field,fwd,nulalias,0,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of {w: i32}[]? — narrow with `is` first,1|1
g00181,G,list_ref,1,field,fwd,nulalias,1,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of {w: i32}[]? — narrow with `is` first,NUL|1
g00182,G,list_ref,0,field,fwd,plainalias,0,fwd,loud_check_reject,[ERROR]: field 'length' is not on every member of {w: i32}[] — narrow with `is` first,1|1
g00183,G,list_ref,1,field,ord,nulalias,0,ord,correct,,1|1
g00184,G,list_ref,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00185,G,list_ref,0,field,ord,plainalias,0,ord,loud_check_reject,[ERROR]: field 'length' is not on every member of {w: i32}[] — narrow with `is` first,1|1
g00186,G,list_ref,1,elem,ord,nulalias,0,ord,correct,,1|1
g00187,G,list_ref,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00188,G,list_ref,0,elem,ord,plainalias,0,ord,loud_check_reject,[ERROR]: field 'length' is not on every member of {w: i32}[] — narrow with `is` first,1|1
g00189,G,list_ref,1,mapval,ord,nulalias,0,ord,loud_emit_reject,"emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list, or a nullable litunion-result closure; any other value type here interned no mv slot)",1|1
g00190,G,list_ref,1,mapval,ord,nulalias,1,ord,loud_emit_reject,"emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list, or a nullable litunion-result closure; any other value type here interned no mv slot)",NUL|1
g00191,G,list_ref,0,mapval,ord,plainalias,0,ord,loud_check_reject,[ERROR]: member access '.length' on non-object {w: i32}[]?,1|1
g00192,G,list_ref,1,bare,ord,nulalias,0,ord,correct,,1|1
g00193,G,list_ref,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00194,G,list_ref,0,bare,ord,plainalias,0,ord,loud_check_reject,[ERROR]: field 'length' is not on every member of {w: i32}[] — narrow with `is` first,1|1
g00195,G,map_str,1,field,fwd,nulalias,0,fwd,loud_check_reject,[ERROR]: field 'size' is not on every member of {[string]: i32}? — narrow with `is` first,1|1
g00196,G,map_str,1,field,fwd,nulalias,1,fwd,loud_check_reject,[ERROR]: field 'size' is not on every member of {[string]: i32}? — narrow with `is` first,NUL|1
g00197,G,map_str,0,field,fwd,plainalias,0,fwd,loud_check_reject,[ERROR]: field 'size' is not on every member of {[string]: i32} — narrow with `is` first,1|1
g00198,G,map_str,1,field,ord,nulalias,0,ord,correct,,1|1
g00199,G,map_str,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00200,G,map_str,0,field,ord,plainalias,0,ord,correct,,1|1
g00201,G,map_str,1,elem,ord,nulalias,0,ord,correct,,1|1
g00202,G,map_str,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00203,G,map_str,0,elem,ord,plainalias,0,ord,correct,,1|1
g00204,G,map_str,1,mapval,ord,nulalias,0,ord,correct,,1|1
g00205,G,map_str,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00206,G,map_str,0,mapval,ord,plainalias,0,ord,loud_check_reject,[ERROR]: member access '.size' on non-object {[string]: i32}?,1|1
g00207,G,map_str,1,bare,ord,nulalias,0,ord,correct,,1|1
g00208,G,map_str,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00209,G,map_str,0,bare,ord,plainalias,0,ord,correct,,1|1
g00210,G,closure,1,field,fwd,nulalias,0,fwd,loud_check_reject,[ERROR]: cannot compare (i32) -> i32? with null,4|1
g00211,G,closure,1,field,fwd,nulalias,1,fwd,loud_check_reject,[ERROR]: cannot assign {f: null} to 'w' of type {f: (i32) -> i32?},NUL|1
g00212,G,closure,0,field,fwd,plainalias,0,fwd,loud_check_reject,[ERROR]: called value is not a function ((i32) -> i32),4|1
g00213,G,closure,1,field,ord,nulalias,0,ord,loud_check_reject,[ERROR]: cannot compare (i32) -> i32? with null,4|1
g00214,G,closure,1,field,ord,nulalias,1,ord,loud_check_reject,[ERROR]: cannot assign {f: null} to 'w' of type {f: (i32) -> i32?},NUL|1
g00215,G,closure,0,field,ord,plainalias,0,ord,correct,,4|1
g00216,G,closure,1,bare,ord,nulalias,0,ord,loud_check_reject,[ERROR]: cannot compare (i32) -> i32? with null,4|1
g00217,G,closure,1,bare,ord,nulalias,1,ord,loud_check_reject,[ERROR]: cannot assign null to 'v' of type (i32) -> i32?,NUL|1
g00218,G,closure,0,bare,ord,plainalias,0,ord,correct,,4|1
