cell,argform,narrowing,dest,expected,grade,detail
call-result__is__generic-initA,call-result,is,generic-initA,6,runs,printed 6
call-result__is__ufcs-union,call-result,is,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
call-result__is__ufcs-struct,call-result,is,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
call-result__is__std-reduce,call-result,is,std-reduce,8,runs,printed 8
call-result__ne-null__direct-union,call-result,ne-null,direct-union,5,runs,printed 5
call-result__ne-null__direct-nulvariant,call-result,ne-null,direct-nulvariant,5,runs,printed 5
call-result__ne-null__direct-struct,call-result,ne-null,direct-struct,5,runs,printed 5
call-result__ne-null__generic-T,call-result,ne-null,generic-T,7,runs,printed 7
call-result__ne-null__generic-initA,call-result,ne-null,generic-initA,6,runs,printed 6
call-result__ne-null__ufcs-union,call-result,ne-null,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
call-result__ne-null__ufcs-struct,call-result,ne-null,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
call-result__ne-null__std-reduce,call-result,ne-null,std-reduce,8,runs,printed 8
field-read__is__direct-union,field-read,is,direct-union,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__is__direct-nulvariant,field-read,is,direct-nulvariant,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__is__direct-struct,field-read,is,direct-struct,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__is__generic-T,field-read,is,generic-T,7,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__is__generic-initA,field-read,is,generic-initA,6,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__is__ufcs-union,field-read,is,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__is__ufcs-struct,field-read,is,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__is__std-reduce,field-read,is,std-reduce,8,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__ne-null__direct-union,field-read,ne-null,direct-union,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__ne-null__direct-nulvariant,field-read,ne-null,direct-nulvariant,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__ne-null__direct-struct,field-read,ne-null,direct-struct,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__ne-null__generic-T,field-read,ne-null,generic-T,7,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__ne-null__generic-initA,field-read,ne-null,generic-initA,6,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__ne-null__ufcs-union,field-read,ne-null,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__ne-null__ufcs-struct,field-read,ne-null,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
field-read__ne-null__std-reduce,field-read,ne-null,std-reduce,8,loud emit reject,[ERROR]: emitProgram: only i32 / boolean / string / array struct fields are supported
nested-binding__is__direct-union,nested-binding,is,direct-union,5,runs,printed 5
nested-binding__is__direct-nulvariant,nested-binding,is,direct-nulvariant,5,runs,printed 5
nested-binding__is__direct-struct,nested-binding,is,direct-struct,5,runs,printed 5
nested-binding__is__generic-T,nested-binding,is,generic-T,7,runs,printed 7
nested-binding__is__generic-initA,nested-binding,is,generic-initA,6,runs,printed 6
nested-binding__is__ufcs-union,nested-binding,is,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
nested-binding__is__ufcs-struct,nested-binding,is,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
nested-binding__is__std-reduce,nested-binding,is,std-reduce,8,runs,printed 8
nested-binding__ne-null__direct-union,nested-binding,ne-null,direct-union,5,runs,printed 5
nested-binding__ne-null__direct-nulvariant,nested-binding,ne-null,direct-nulvariant,5,runs,printed 5
nested-binding__ne-null__direct-struct,nested-binding,ne-null,direct-struct,5,runs,printed 5
nested-binding__ne-null__generic-T,nested-binding,ne-null,generic-T,7,runs,printed 7
nested-binding__ne-null__generic-initA,nested-binding,ne-null,generic-initA,6,runs,printed 6
nested-binding__ne-null__ufcs-union,nested-binding,ne-null,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
nested-binding__ne-null__ufcs-struct,nested-binding,ne-null,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
nested-binding__ne-null__std-reduce,nested-binding,ne-null,std-reduce,8,runs,printed 8
